,ROC AUC Score,PR AUC Score
Fall149,0.8909991742361685,0.44358452627532785
Fall150,0.7803121248499401,0.30822441477575835
Fall151,0.828125,0.405409280862937
Fall152,0.852112676056338,0.45446566765442425
Fall153,0.9372395833333333,0.8135904661173464
Fall154,0.8961914391641389,0.45061401557526226
Fall155,0.9617749264902433,0.8198022471858736
Fall156,0.8714622641509434,0.50610027135226
Fall157,0.8511363636363636,0.43749811772682184
Fall158,0.9481442484864437,0.7954686708145968
Fall159,0.9165004274722143,0.7906703947246545
Fall160,0.8298705209274314,0.4214051072896773
Fall161,0.939476061427281,0.849176959241855
Fall162,0.925199709513435,0.8408985414697199
Fall163,0.8737113402061856,0.6972408219272047
Fall164,0.8929032258064517,0.7261660220964015
Fall165,0.9322916666666666,0.8534566489507739
Fall166,0.8621495327102805,0.6120141691805842
Fall167,0.9704218106995884,0.9174101509065277
Fall168,0.8448275862068966,0.5387852863897977
Fall169,0.9864457831325301,0.932391007015932
Fall170,0.946808510638298,0.8163600846031299
Fall171,0.7593167701863354,0.23587401572256714
Fall172,0.9200664136622391,0.8106028019506016
Fall173,0.7978395061728395,0.27294638855508324
Fall174,0.8719818913480885,0.6606863496785896
Fall175,0.8126582278481013,0.4450149862790183
Fall176,0.8954927087936367,0.6614442082871231
Fall177,0.8357142857142856,0.5045313100326613
Fall178,0.9493087557603687,0.8385277894837815
Fall179,0.7406519654841802,0.2804449598844302
Fall180,0.8928571428571428,0.7581424021829701
Fall181,0.8331570597567425,0.6410431332892702
Fall182,0.6293129770992367,0.41409902673653737
Fall183,0.7794647452393206,0.42987853753452415
Fall184,0.6648126463700235,0.2292568415480181
Fall185,0.782258064516129,0.30075689413818785
Fall186,0.4491001124859393,0.17118691877244746
Fall187,0.7744615384615385,0.3685831433695769
Fall188,0.8605553287055943,0.5297340833140353
Fall189,0.9316998106060606,0.6584730466483442
Fall190,0.9801907556859868,0.9325254392287514
Fall191,0.932235294117647,0.7965457825504558
Fall192,0.9605298013245034,0.8825708432941474
Fall193,0.8954545454545455,0.6682525990597428
Fall194,0.9085144927536232,0.7763681650661367
Fall195,0.9439890710382514,0.7430321660176791
Fall196,0.865034965034965,0.555031059428258
Fall197,0.8553633217993079,0.6102288830537161
Fall198,0.896680216802168,0.6529698316313147
Fall199,0.6556473829201102,0.20253785274294556
Fall200,0.9777242624924745,0.899759596431881
mean,0.8907190445079253,0.6678710485190235
